timestamp,count,flag,complete
2075731580660835,0,0,2973
2075731580778555,0,0,3346
2075731581178482,1,0,2192
2075731581903126,1,0,3235
2075731581982988,1,0,11078
2075731583050194,1,0,11581
2075731583915862,0,0,2675
2075731584419431,1,0,2997
2075731585000764,0,0,2672
2075731585033090,1,0,1882
2075731585043665,1,0,1702
2075731585569890,0,0,3504
2075731585886522,0,0,11772
2075731586459348,0,0,2819
2075731587200298,1,0,2931
2075731587931619,1,0,2718
2075731588286630,0,0,3414
2075731588661322,1,0,2190
2075731589448086,1,0,3848
2075731589504537,0,0,2104
2075731589932737,1,0,8630
2075731589987575,0,0,3065
2075731590505907,1,0,2695
2075731591037681,1,0,2885
2075731591460804,0,0,2658
2075731591821364,1,0,2752
2075731592300481,1,0,5368
2075731592845762,1,0,2784
2075731593398830,1,0,8880
2075731593878023,0,0,3014
2075731594453048,0,0,2772
2075731594839347,0,0,3686
2075731595147154,1,0,2082
2075731595529391,0,0,2676
2075731596018057,0,0,2680
2075731596697518,1,0,11267
2075731596771262,0,0,2055
2075731597351444,1,0,2548
2075731597869086,0,0,3837
2075731598026564,0,0,2075
2075731598646103,1,0,2838
2075731599219479,0,0,2937
2075731599735285,0,0,4824
2075731599804325,1,0,4980
2075731600289268,1,0,3941
2075731600352132,1,0,1934
2075731600417299,1,0,9019
2075731600526757,1,0,8361
2075731600853895,0,0,2044
2075731601562024,0,0,11001
2075731602182938,1,0,2871
2075731602250839,0,0,2081
2075731602796296,0,0,2991
2075731603194819,0,0,3206
2075731603734486,0,0,2622
2075731604202442,1,0,8909
2075731604794543,1,0,2823
2075731604820432,1,0,1880
2075731605373002,0,0,3760
2075731605435615,0,0,2320
2075731605442829,1,0,1786
2075731605979226,0,0,2719
2075731606553252,0,0,3113
2075731607562651,0,0,5629
2075731608248146,0,0,3031
2075731608825463,1,0,2838
2075731608907488,0,0,5134
2075731609416230,1,0,2722
2075731609443764,0,0,2012
2075731609955206,0,0,3167
2075731610488913,0,0,3663
2075731610607294,1,0,3408
2075731610998461,1,0,2356
2075731611916689,0,0,2917
2075731612135499,0,0,5068
2075731612820195,0,0,2339
2075731613255170,1,0,2756
2075731613773004,0,0,3429
2075731613804125,0,0,1987
2075731614298464,0,0,3489
2075731614922865,0,0,3526
2075731616013620,0,0,3605
2075731616496218,0,0,2869
2075731616985444,0,0,2934
2075731617155141,0,0,2030
2075731617586158,1,0,3053
2075731617638252,1,0,1972
2075731618107930,0,0,3115
2075731618163310,1,0,2520
2075731618929229,1,0,2732
2075731619582429,0,0,3575
2075731620073971,1,0,3050
2075731620491767,1,0,2788
2075731621063682,0,0,2858
2075731621412315,0,0,13671
2075731621846193,0,0,2642
2075731621880440,0,0,2052
2075731622351153,0,0,2755
2075731622759167,0,0,2497
2075731623239035,0,0,3442
2075731624067975,1,0,7346
2075731624520357,0,0,2854
2075731625088849,0,0,3504
2075731625468767,0,0,2756
2075731626039727,1,0,2834
2075731626049030,0,0,1768
2075731626524800,1,0,2683
2075731626558587,0,0,1962
2075731627094560,1,0,3600
2075731627838387,0,0,12860
2075731628268720,1,0,6737
2075731628714954,1,0,2693
2075731629205480,0,0,2452
2075731629844530,1,0,3515
2075731629940420,0,0,1895
2075731630328460,0,0,2755
2075731630637585,1,0,2592
2075731631219489,1,0,3155
2075731631951013,0,0,2766
2075731632353812,0,0,2830
2075731632836444,1,0,2700
2075731633333068,1,0,2709
2075731633898685,1,0,3837
2075731633920814,0,0,7964
2075731633988696,1,0,2969
2075731634398583,1,0,2737
2075731634895299,1,0,3596
2075731635452541,1,0,10805
2075731635979468,1,0,3066
2075731636254290,0,0,9302
2075731636272993,0,0,1990
2075731636432860,0,0,3610
2075731637059063,1,0,4873
2075731637524453,0,0,12404
2075731637639733,0,0,2223
2075731638557210,1,0,2999
2075731639332315,0,0,2803
2075731639828560,0,0,2671
2075731640265821,1,0,3949
2075731640831681,1,0,2560
2075731640915164,0,0,3016
2075731641465353,1,0,2900
2075731642035287,1,0,2839
2075731642618292,1,0,2715
2075731643172672,1,0,9809
2075731643647277,1,0,8431
2075731644157743,0,0,3238
2075731644255494,0,0,9667
2075731644824497,0,0,2593
2075731644885028,0,0,1880
2075731645077676,0,0,3420
2075731645688091,1,0,2720
2075731646137149,0,0,2684
2075731646732345,1,0,2700
2075731647199627,1,0,5204
2075731647247904,1,0,2010
2075731647763407,1,0,2611
2075731648238003,0,0,2802
2075731648784116,0,0,3485
2075731648828555,1,0,2111
2075731648898593,0,0,4567
2075731649439745,0,0,2710
2075731650028523,1,0,3213
2075731650382651,1,0,3464
2075731650895355,1,0,2624
2075731651996175,1,0,3010
2075731652674205,1,0,3964
2075731652763113,1,0,2205
2075731652868285,0,0,1967
2075731653530999,0,0,3152
2075731653614548,1,0,2623
2075731654034194,1,0,2703
2075731654159787,1,0,3094
2075731654453678,1,0,2234
2075731655172664,0,0,3948
2075731655759663,1,0,6158
2075731656342397,1,0,3348
2075731656828318,1,0,2639
2075731657454156,0,0,2610
2075731658079676,1,0,3485
2075731658953551,1,0,3754
2075731659391176,0,0,3320
2075731659742136,1,0,2597
2075731660317392,0,0,4186
2075731660830212,1,0,2675
2075731660917784,1,0,1901
2075731660982375,1,0,1935
2075731661461260,1,0,2114
2075731662191661,1,0,2518
2075731662694244,1,0,2164
2075731663048316,1,0,2129
2075731663903625,0,0,2123
2075731665137863,1,0,2468
2075731665205203,1,0,1900
2075731665250635,0,0,1831
2075731665842097,1,0,2141
2075731665898663,1,0,1920
2075731666422484,0,0,2454
2075731666955506,0,0,2125
2075731667006455,1,0,1883
2075731667505529,1,0,1999
2075731668005687,1,0,2023
2075731668608791,0,0,2328
2075731668660676,0,0,1998
2075731669186008,1,0,1991
2075731669720469,1,0,1985
2075731670268918,0,0,2049
2075731671119111,1,0,2543
2075731672109513,0,0,3550
2075731672691871,1,0,2815
2075731673004341,0,0,3819
2075731673084333,1,0,2164
2075731673518514,1,0,3600
2075731673594586,1,0,2384
2075731673926923,1,0,4021
2075731674297631,1,0,2816
2075731674829949,1,0,2727
2075731675553023,0,0,3557
2075731675908539,0,0,2709
2075731676943851,1,0,4201
2075731677019088,0,0,2895
2075731677426938,0,0,2739
2075731677888801,1,0,3510
2075731678400797,0,0,2937
